title,company,location,salary,experience,source,skills,job_type,experience_level,domain
Not Available,Not Available,Not Available,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
LP Analyst,UpGrad Rekrut,Noida,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Onsite,Not Mentioned,AI Engineer
Performance Marketing,LeadNexus LLP,Pune,Not Available,Not Available,Internshala,"artificial intelligence, digital marketing",Onsite,Senior,AI Engineer
Robotics And AI Trainer,Robo Labs,Kolkata,Not Available,Not Available,Internshala,"artificial intelligence, robotics",Onsite,Not Mentioned,AI Engineer
Performance Marketing Specialist,Guerdon Kicks,Gurgaon (Hybrid),Not Available,Not Available,Internshala,"artificial intelligence, digital marketing",Hybrid,Not Mentioned,AI Engineer
Perception Engineer,ARTPARK,Bangalore,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
Performance Marketing Associate,Break The Code,Mumbai,Not Available,Not Available,Internshala,"artificial intelligence, digital marketing",Onsite,Not Mentioned,AI Engineer
Paid Ads Specialist (Google Ads And Meta Ads),ViralChilly,Jaipur,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
Crypto Trader,Trading Fox Private Limited,Jaipur,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
Webinar And AI Software Engineer,Streamonweb,Gurgaon,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
Robotics & Coding Trainer For School Students,CyncNLeap Education Solution,"Hyderabad, Bangalore",Not Available,Not Available,Internshala,"artificial intelligence, robotics",Onsite,Not Mentioned,AI Engineer
Artificial Intelligence (AI) Executive,VIZON,"Dehradun, Delhi, Bangalore",Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
Artificial Intelligence (AI) Executive,VIZON,Work from home,Not Available,Not Available,Internshala,artificial intelligence,Remote,Not Mentioned,AI Engineer
Strategy Manager,Turtlemint,Mumbai,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Senior,AI Engineer
Marathi Speaker - Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Malayalam Speaker - Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Gujarati Speaker - Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Online Data Analyst - Punjabi Speaker,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Online Data Analyst - Urdu Speaker,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Online Data Analyst - Tamil Speaker,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
WFH Online Data Analyst Malayalam Language,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
WFH Online Data Analyst Marathi Language,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
WFH Online Data Analyst Gujarati Language,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Malayalam Speaker Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Marathi Speaker Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Gujarati Speaker Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Internship,Data Analyst
Data Analytics Associate,"Grade A Accounting (London, United Kingdom)",Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Not Mentioned,AI Engineer
Walkin Drive For Data Management;Exp: 2 To 5 Yrs-21st May At Bangalore,Infosys BPM,Bangalore,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Junior,AI Engineer
Associate Analyst,Toluna,Nanakramguda,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Onsite,Not Mentioned,AI Engineer
Senior Executive Procurement Research & Operations,Godrej Agrovet Limited,Maharashtra,Not Available,Not Available,Internshala,"artificial intelligence, research",Onsite,Senior,AI Engineer
Business Intelligence Analyst,Newfold Digital,Maharashtra,Not Available,Not Available,Internshala,"artificial intelligence, data analysis, power bi",Onsite,Not Mentioned,AI Engineer
Senior Data Engineer,Hire Right Search Partners,Noida,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Senior,AI Engineer
Data/Analytics Lead,Hire Right Search Partners,Noida,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Senior,AI Engineer
Faculty Of Business Analytics/ Data Science,Anthroplace Consulting,Kolkata,Not Available,Not Available,Internshala,"artificial intelligence, business analytics, data science",Onsite,Not Mentioned,Data Science
SAP Controller & AI Executive (For Mines Industry),Hire Xpert,Mumbai,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
Data Scientist,QuickHyre,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data science",Remote,Not Mentioned,Data Science
Generative AI Architect (Code Generation),HSL,Bangalore,Not Available,Not Available,Internshala,"artificial intelligence, generative ai",Onsite,Not Mentioned,AI Engineer
Gen AI Engineer,GGS Staffing Private Limited,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, generative ai",Remote,Not Mentioned,AI Engineer
Operations Field Engineer - Robotics And AI,MyTron Labs LLP,Surat,Not Available,Not Available,Internshala,"artificial intelligence, robotics",Onsite,Not Mentioned,AI Engineer
GenAI Developer,TrainingMug,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, generative ai",Remote,Not Mentioned,AI Engineer
Frappe Techno Functional Consultant/Engineer,Technoculture Research,Bangalore,Not Available,Not Available,Internshala,"artificial intelligence, research",Onsite,Not Mentioned,AI Engineer
Digital Market Intelligence Analyst,ALIQAN Technologies,"Chennai, Delhi, Maharashtra, Nanakramguda, Bangalore",Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Onsite,Not Mentioned,AI Engineer
Artificial Intelligence (AI) Specialist,Tallect,Work from home,Not Available,Not Available,Internshala,artificial intelligence,Remote,Not Mentioned,AI Engineer
AI Marketing Specialist (Automation),Proof-of-Skill,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, automation, digital marketing",Remote,Not Mentioned,AI Engineer
Business Analyst,QANinjas,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, business analytics, data analysis",Remote,Not Mentioned,Data Analyst
Data Analytics Associate,Superwork,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Remote,Not Mentioned,AI Engineer
Business Intelligence Analyst,Empower Professionals Incorporation - Talent & IT Services,Work from home,Not Available,Not Available,Internshala,"artificial intelligence, data analysis, power bi",Remote,Not Mentioned,AI Engineer
Senior Digital Marketing Specialist,Indipro,Bangalore,Not Available,Not Available,Internshala,"artificial intelligence, digital marketing",Onsite,Senior,AI Engineer
SD-1,Wokelo AI,Work from home,Not Available,Not Available,Internshala,artificial intelligence,Remote,Junior,AI Engineer
Data Analyst (Catastrophe Modeling),UpGrad Rekrut,"Mumbai, Bangalore (Hybrid)",Not Available,Not Available,Internshala,"artificial intelligence, data analysis",Hybrid,Not Mentioned,Data Analyst
Associate AI Product Engineer,ShortHills Tech Private Limited,Gurgaon,Not Available,Not Available,Internshala,artificial intelligence,Onsite,Not Mentioned,AI Engineer
